Front	Back	Classe	Tags
clínica (composto: remédio-casa)	naka-kama	subst	tapi subst
hemorragia (composto: corpo-NEG-vermelho)	puti-pa-pisi	subst	tapi subst
tontura (composto: corpo-girar)	puti-tuti	subst	tapi subst
insônia (composto: sono-NEG-grande)	napi-pa-tipi	subst	tapi subst
anorexia (composto: fome-NEG-grande)	mani-pa-tipi	subst	tapi subst
depressão (composto: tristeza-grande)	pumu-muka-tipi	subst	tapi subst
loucura (composto: pensar-mal)	pita-muka	subst	tapi subst
pediatra (composto: médico-pequeno)	kima-puti-puku	subst	tapi subst
ginecologista (composto: médico-mulher)	kima-puti-mumi	subst	tapi subst
cardiologista (composto: médico-coração)	kima-puti-pumu	subst	tapi subst
oftalmologista (composto: médico-olho)	kima-puti-pati	subst	tapi subst
dentista (composto: médico-dente)	kima-puti-kipa	subst	tapi subst
basquete (composto: mão-jogo)	kanu-tupu	subst	tapi subst
vôlei (composto: basquete-asa)	kanu-tupu-titu	subst	tapi subst
tênis (composto: graveto-jogo)	mutu-tupu	subst	tapi subst
boxe (composto: mão-bater)	kanu-tata	subst	tapi subst
luta marcial (composto: lutar-jogo)	siku-tupu	subst	tapi subst
ciclismo (composto: redondo-pé-jogo)	mana-puta-tupu	subst	tapi subst
maratona (composto)	puta-sipa-tipi-pami	subst	tapi subst
olimpíada (composto: jogo-todo-grande)	tupu-kupa-tipi	subst	tapi subst
jogador (composto)	tupu-mati	subst	tapi subst
treinador (composto)	kima-tupu-mati	subst	tapi subst
treino (composto: saber-jogar)	kima-tupu	subst	tapi subst
partida (composto: jogo-um)	tupu-tani	subst	tapi subst
gol (composto: futebol-chegar)	puta-tupu-supa	subst	tapi subst
placar (composto: contar-jogo)	kupu-tupu	subst	tapi subst
árbitro (composto: juiz-de-jogo)	muta-ka-tupu	subst	tapi subst
bola (composto: redondo-jogo)	mana-tupu	subst	tapi subst
piscina (composto: água-casa-grande)	mina-kama-tipi	subst	tapi subst
estádio (composto: jogo-casa-grande)	tupu-kama-tipi	subst	tapi subst
ginásio (composto: corpo-casa)	puti-kama	subst	tapi subst
medalha (composto: pedra-jogo)	mapu-tupu	subst	tapi subst
pódio (composto: levantar-feito-grande)	sutu-patu-tipi	subst	tapi subst
recorde (composto: melhor-jogo-NOM)	sami-tupu-i	subst	tapi subst
falta (composto: mal-jogo)	muka-tupu	subst	tapi subst
site (composto: palavra-casa)	tama-kama	subst	tapi subst
email (composto: palavra-ir)	tama-ina	subst	tapi subst
mensagem (composto: palavra-dar)	tama-puna	subst	tapi subst
post/publicação (composto: mensagem-todos)	tama-puna-kupa	subst	tapi subst
comentário (composto: palavra-sobre)	tama-pasi	subst	tapi subst
curtir (composto: coração-dar)	pumu-puna	verbo	tapi verbo
compartilhar (composto: mútuo-dar)	tatu-puna	verbo	tapi verbo
seguir (composto: ir-atrás)	ina-pupi	verbo	tapi verbo
seguidor (composto)	ina-pupi-mati	subst	tapi subst
bloquear (composto: porta-NEG)	kama-munu-pa	verbo	tapi verbo
denunciar (composto: acusar-todos)	muka-taka-kupa	verbo	tapi verbo
amigo (composto: amor-pessoa)	ama-mati	subst	tapi subst
senha (composto: palavra-escondida)	tama-tiku	subst	tapi subst
usuário (composto: computador-pessoa)	kupu-mapu-mati	subst	tapi subst
arquivo (composto: palavra-pedra)	tama-mapu	subst	tapi subst
pasta (composto: arquivo-casa)	tama-mapu-kama	subst	tapi subst
baixar (composto: pegar-internet)	kuta-tama-kupa	verbo	tapi verbo
enviar/subir (composto: dar-internet)	puna-tama-kupa	verbo	tapi verbo
conectar (composto: com-fazer)	kami-patu	verbo	tapi verbo
desconectar (composto: com-NEG)	kami-pa	verbo	tapi verbo
rede (composto: internet-caminho)	tama-kupa-nani	subst	tapi subst
wifi (composto: internet-ar)	tama-kupa-nita	subst	tapi subst
aplicativo (composto: feito-pequeno)	patu-puku	subst	tapi subst
chat (composto: mútuo-palavra)	tatu-tama	subst	tapi subst
videochamada (composto)	pati-tika-tatu-tama	subst	tapi subst
emoji (composto: coração-cara)	pumu-pati	subst	tapi subst
meme (composto: risada-foto)	tasi-pati-tika	subst	tapi subst
viral (composto: espalhar-todos-grande)	ina-kupa-tipi	adj	tapi adj
fake news (composto: verdade-NEG-palavra)	muta-ka-pa-tama	subst	tapi subst
privacidade (composto: você-só-vê)	tu-pati	subst	tapi subst
algoritmo (composto: computador-pensar)	kupu-mapu-pita	subst	tapi subst
inteligência artificial (composto: feito-pensar)	patu-pita	subst	tapi subst
robô (composto)	patu-pita-mati	subst	tapi subst
inscrever-se (composto: nome-dar)	nimi-puna	verbo	tapi verbo
canal (composto: palavra-caminho)	tama-nani	subst	tapi subst
transmissão (composto: dar-todos)	puna-kupa	subst	tapi subst
live/transmissão ao vivo (composto: agora-falar)	muta-kapa-tama	subst	tapi subst
internauta (composto)	tama-kupa-mati	subst	tapi subst
tempo online (composto)	tama-kupa-kapa	subst	tapi subst
online (composto: internet-dentro)	tama-kupa-mipi	prep	tapi prep
offline (composto)	tama-kupa-pa-mipi	prep	tapi prep
saudade (composto: coração-longe; do português)	pumu-kana	subst	tapi subst
schadenfreude (composto: rir-mal; do alemão)	tasi-muka	subst	tapi subst
komorebi (composto: sol-folha-luz; do japonês — sol filtrado por folhas)	tunu-papa-pana	subst	tapi subst
wabi-sabi (composto: belo-velho-cair; do japonês — beleza do imperfeito/transitório)	panu-mapa-kata	subst	tapi subst
hygge (composto: casa-coração-bem; do dinamarquês — aconchego compartilhado)	kama-pumu-tina	subst	tapi subst
lagom (composto: não-muito-não-pouco; do sueco — equilíbrio justo)	pa-matu-pa-puku	adj	tapi adj
nunchi (composto: ver-coração-pessoa; do coreano — ler ambiente social)	tika-pumu-mati	subst	tapi subst
toska (composto: coração-NEG-saber; do russo — melancolia espiritual profunda)	pumu-pa-kima	subst	tapi subst
iktsuarpok (composto: chegar-querer-medo; do inuíte — ansiedade ao esperar visita)	supa-naki-nipa	subst	tapi subst
mamihlapinatapai (composto: mútuo-ver-querer-NEG; do yagán — olhar mútuo esperando iniciativa)	tatu-tika-naki-pa	subst	tapi subst
fernweh (composto: longe-querer; do alemão — saudade de lugar não-visitado)	kana-naki	subst	tapi subst
waldeinsamkeit (composto: floresta-só-NOM; do alemão — solidão da floresta)	puma-tani-i	subst	tapi subst
tsundoku (composto: livro-comprar-NEG-ler; do japonês — comprar livro e não ler)	tama-naku-kuta-pa-tika	subst	tapi subst
sisu (composto: coração-firmeza; do finlandês — resiliência teimosa)	pumu-puta	subst	tapi subst
cafuné (composto: cabelo-amor; do português — carinho na cabeça)	tutu-ama	subst	tapi subst
sobremesa (composto: comer-acabar-falar-tempo; do espanhol — conversa pós-refeição)	mani-pa-taka-kapa	subst	tapi subst
jugaad (composto: novo-fazer-pequeno; do hindi — improvisação criativa)	kini-patu-puku	subst	tapi subst
abbiocco (composto: comer-sono; do italiano — sonolência pós-refeição)	mani-napi	subst	tapi subst
gezellig (composto: com-bom; do holandês — aconchego social)	kami-tina	adj	tapi adj
shemomedjamo (composto: comer-sem-querer-bom; do georgiano — comi sem querer, estava bom)	mani-pa-naki-tina	subst	tapi subst
wanderlust (composto: coração-ir; do alemão — vontade de viajar)	pumu-ina	subst	tapi subst
thalassophilia (composto: mar-querer; do grego — amor pelo mar)	sapu-naki	subst	tapi subst
mångata (composto: noite-longa; do sueco — reflexo lunar no mar)	mata-pi-kana	subst	tapi subst
apricity (composto: folha-cair-calor; do inglês arcaico — calor do sol no inverno)	papa-kata-tasi	subst	tapi subst
"ya'aburnee (composto: olho-ver-coração; do árabe — ""que tu me enterres"" — amor de não querer sobreviver ao outro)"	pati-tika-pumu	subst	tapi subst
meraki (composto: sonho-grande; do grego — fazer algo com toda a alma)	kapi-tipi	subst	tapi subst
mokita (composto: pensar-NEG-chegar; do papua — verdade que todos sabem mas ninguém fala)	pita-pa-supa	subst	tapi subst
dépaysement (composto: coração-longo; do francês — sensação de estar em terra estrangeira)	pumu-pami	subst	tapi subst
utepils (composto: descansar-longo; do norueguês — cerveja ao ar livre num dia ensolarado)	kapi-pami	subst	tapi subst
razliubít (composto: dormir-amor-NEG; do russo — sentir desaparecer um amor)	napi-tipi-pa	subst	tapi subst
